,post_url,query,tags,count
4799010861.0,https://www.instagram.com/p/BTZgFNBBiDC/,#спасибодедузапобеду,"['спасибодедузапобеду', 'помним', 'помнимгордимся', 'георгиевскаяленточка', '1941', '1945', 'великаяотечественнаявойна', 'однанавсех']",6086
3236360707.0,https://www.instagram.com/p/CAIevs1JaTW/,#бессмертныйполк,"['podvig_naroda', 'вов', 'ркка', 'бессмертныйполк', 'ww2', 'ветераны', 'ветеран', '9мая', '9мая2017', 'подвигнарода', 'великаяотечественнаявойна', 'спасибодедузапобеду', 'wartime', 'парадпобеды', 'парадпобеды', 'деньпобеды', 'history', '1941_1945', 'militaryhistory', 'втораямировая', 'родина', 'советскийсоюз', 'war', 'russia', 'фотоархив', 'армия', 'worldwar2']",3960
2660996976.0,https://www.instagram.com/p/BC9wNwDHuQr/,#гордостьроссии,"['mband', 'гордостьроссии', 'поколением', 'семьябандитов', 'армиябандитов', 'бандитынавсегда', 'самыекрутыетерпение', 'артёмпиндюра', 'никитакиоссе', 'самыекрутые']",1420
34122567701.0,https://www.instagram.com/p/B_lnrzdgXee/,#бессмертныйполк,"['победа75', 'бессмертныйполк', 'ұлыжеңіскүнімен', 'нашапобеда', '9мамырпавлодар', 'мәңгілікдаңқ', '9мая', 'жеңіскүні', '1941_1945', 'деньпобеды', '75летпобеды', 'великаяпобеда', 'победа', 'вов', 'памятьбессмертна', 'мывместе', 'память', 'мыпомним', 'творимдобро', 'великаяотечественнаявойна', '75лет_победы', '9мая2020', '9маяденьвеликойпобеды', '9маяпавлодар', 'павлодар', 'pavlodar', 'pavlodarcity', 'pavlodarregion', 'pavlodarnews', 'bessmertnyi_polk_pavlodar']",1208
2812159600.0,https://www.instagram.com/p/BEs-xymx-bM/,#бессмертныйполк2016,"['волонтерыпобеды', 'бессмертныйполк2016', 'тасс', 'бессмертныйполк', 'прессконференция', 'лановой']",1159
1269359150.0,https://www.instagram.com/p/CACbCZgjkcA/,#гордостьроссии,"['гордостьроссии', 'мчс', '25воимяжизни', 'брянск']",1031
34339995658.0,https://www.instagram.com/p/B_mA13KqG_l/,#бессмертныйполкроссии,"['бессмертныйполкого', 'бессмертныйполкодинцовскийгородскойокруг', 'бессмертныйполконлайн', 'бессмертныйполкроссии', 'бессмертныйполк2020', 'оставайсядома', 'домалучше']",952
8099859454.0,https://www.instagram.com/p/CAHrV7mJsST/,#бессмертныйполк,['лица_войны'],861
34143593859.0,https://www.instagram.com/p/B_T4AitnLa3/,#бессмертныйполкдома,"['памятьсильнеевремени_кузбасс', 'moypolkkiselevsk', '75летпобеды', 'бессмертныйполкдома', 'moypolk', 'киселёвск']",731
14190197402.0,https://www.instagram.com/p/CAECr7-gfI5/,#спасибодедузапобеду,"['абазашта', 'абазины', 'абазинский', 'бессмертныйполк', '75летвеликойпобеды', 'спасибодедузапобеду', 'помнимигордимся', 'любимыйабазинскийнарод']",723
2308345453.0,https://www.instagram.com/p/BSEge1cANMt/,#наследникипобеды,"['рдш_дагестан', 'гимназия35', 'минобррд', 'минмолрд', 'волонтерыпобеды', 'управление_образования', 'письмоветерану', 'рцдютк', 'наследникипобеды']",708
5450549397.0,https://www.instagram.com/p/CALYYFoHMVb/,#бессмертныйполк2020,"['спасибочтояживу75', '9мая2020кбр', 'деньпобеды2020', '2020бессмертныйполк', 'никтонезабытничтонезабыто', 'деньпобеды75', 'бессмертныйполк2020', 'бессмертныйполкдома']",694
33172187800.0,https://www.instagram.com/p/B_IUcQlhjPX/,#бессмертныйполкдома,"['бессмертныйполкдома', 'мойполкдома', 'бессмертныйполк2020дз']",644
1990900773.0,https://www.instagram.com/p/CALGpX-h_Wd/,#бессмертныйполкалматы,"['мирбезвойны', '9мая', 'путькпобеде', 'своихгероевнепредаем', 'историястраны', 'бессмертныйполкдома', '19411945', 'великаяотечественнаявойна', 'мойполкдома', 'алматы', 'великаяпобеда', 'нашиаташки', 'бессмертныйполкалматы', 'бессмертныйполк']",617
10942058015.0,https://www.instagram.com/p/BwpMNbugQg5/,#бесмертныйполк,"['уроди', 'мафия', 'беспридел', 'хулиганы2', 'гиопика', 'ганджа', 'вор', 'гангстеры', 'хулиганы', 'братзабрата', 'блатной', 'бандит', 'бандиты', 'наркотики', 'ворывзаконе', 'волки', 'базарунет', 'марихуана', 'скемтытам', 'криминал', 'бесмертныйполк', 'ауе', 'ауежизньворам']",617
8602023690.0,https://www.instagram.com/p/Bn4NC8lBoSw/,#бессмертныйполкло,"['саморазвитие', 'молодежкаонф', 'вп', 'instasize', 'добро', 'сторонникиер', 'мгер', 'актив', 'делайдобро', 'ер', 'мс', 'инициатива', 'дрозденко', 'волхов', 'активнаямолодёжь', 'бессмертныйполк', 'волонтерыпобеды', 'бессмертныйполкло', 'волонтёр', 'фокусники', 'волховскиймо', 'самореализация', 'команда47', 'ленинградскаяобласть', 'ло', 'онф']",566
4203198669.0,https://www.instagram.com/p/BkBTDM-AkDd/,#гордостьроссии,"['esp', 'esp_russia', 'собр', 'омон', 'военный', 'росгвардия', 'спецназ', 'спецназроссии', 'вежливыелюди', 'специальныйотрядбыстрогореагирования', 'антитеррор', 'элита', 'российскаяармия', 'армия', 'армияроссии', 'aktactical', 'specialforces', 'russia', 'sobr', 'army', 'rusarmy', 'гордостьроссии', 'military', 'рабочиемоменты']",511
33533275173.0,https://www.instagram.com/p/B_5VHA6FVxX/,#бесмертныйполконлайн,"['repost', 'бесмертныйполконлайн', 'бессмертныйполктатарстан', 'бессмертныйполктюлячи', 'бессмертныйполктнв']",506
7877030676.0,https://www.instagram.com/p/BslASlcAT-3/,#бессмертный,"['ромалсп', 'ромаангличанин', 'лсп', 'ромасащеко', 'ромажив', 'лспфан', 'бессмертный']",502
3499848319.0,https://www.instagram.com/p/CALis0AHbdE/,#бессмертныйполк2020,"['бессмертныи', 'бессмертныи', 'полконлаи', 'героивои', 'этонужноживымпомните', 'поклонимсявеликимтемгодам', 'подвигнарода', 'чтобыпомнили', 'великаявои', '9мая2020', 'к75летиювеликои', 'годпамятииславы', 'помните', 'онисражалисьзародину', 'история', 'ссср', 'спасибодедузапобеду', 'карантин', 'коронавирус', 'нетфашизму', 'нетвои', 'мынаследникипобеды', 'победныи', 'акция', 'репост', 'этонужнознать', 'георгиевскаялента', '75победа', 'бессмертныи']",496
2923609219.0,https://www.instagram.com/p/CACvUE3gMNy/,#бессмертныйполк,"['кчрдб', 'библиотеканикулина', 'бессмертныйполк', '75летпобеды']",489
7176438479.0,https://www.instagram.com/p/BsnvgOMnW-g/,#спасибодедузапобеду,"['9', 'мая', 'великаяпобеда', 'ветераны', 'помним', 'фейерверк', 'салют', '9мая', '9маяденьпобеды', 'деньпобеды', 'салютпобеды', 'победа', 'великаяотечественнаявойна', '1941', 'салют9мая', '9мая1945', 'спасибодедузапобеду', 'спасибовам', 'никогданезабуду', '1945', 'помнимгордимся', 'май2018', 'весна2018', 'латвия', 'рига']",485
6457686344.0,https://www.instagram.com/p/CALCzbji5Ce/,#бессмертныйполк2020,"['бессмертныйполк', 'бессмертныйполк2020', 'бессмертныйполкроссии']",455
5706832316.0,https://www.instagram.com/p/Bt1B5Gfn0tO/,#спасибодедузапобеду,,441
22838048038.0,https://www.instagram.com/p/B_nSXBWn_pU/,#наследникипобеды,"['75стихововойне', 'рдш', 'наследникипобеды', 'великаяпобеда', 'военныепесни', 'стихиовойне']",427
4314119435.0,https://www.instagram.com/p/CAB5PphoC_r/,#спасибодедузапобеду,"['repost', 'детиовойне', '75летпобеды', 'ветеранвойны', 'спасибодедузапобеду', 'помнимгордимсячтимс', 'repost', 'участвуювконкурсе']",417
4946540791.0,https://www.instagram.com/p/BikTYSjgJzL/,#polk_nalchik,"['repost', 'мчсроссии', 'эвпсо', 'пспнальчик', 'герои', 'гордимся', 'россия', 'ангелы', 'кавказ', 'россоюзспас', 'кбр', 'нальчик', 'эльбрус', 'горы', 'спасатели', 'скфо', 'бессмертныйполк', '07elbrus', 'patriot_kbr', 'polk_nalchik']",396
8521109580.0,https://www.instagram.com/p/CAIXeL5AqFn/,#бессмертныйполк05,['бессмертныи'],382
2898393779.0,https://www.instagram.com/p/B_7mR5oFtdr/,#бессмертныйполконлайн,"['окна_победы', 'бессмертныйполконлайн']",380
16348667723.0,https://www.instagram.com/p/B1MwYGWnoJP/,#бессмертныйполк,"['кириминальныйкруг', 'мафия', 'кириминал', 'тут', 'бас', 'хулиганы', 'бандитскийбегусарай', 'азербайджанскиепесни', 'бандит', 'хулиган', 'бандиты', 'чорнийделфин', 'анаша', 'калашников', 'борода', 'азербайджан', 'бессмертныйполк', 'kriminal_7_7', 'черныйдельфин', 'воровской', 'рувайн', 'братухи', 'туткайф', 'душевно', 'марихуана', 'дагестан', 'хулиганство', 'криминальнаяроссия', 'криминал', 'ауе']",376
2973259511.0,https://www.instagram.com/p/B_jibKRqNUt/,#бессмертныйполконлайн,"['музейкчр', 'бессмертныйполконлайн', '75летпобеды']",361
10367322631.0,https://www.instagram.com/p/B_8GBKYHyCt/,#бессмертныйполконлайн,"['digoria_news', 'осетия', 'алания', 'дигорскийрайон', 'бессмертныйполконлайн']",349
33059303516.0,https://www.instagram.com/p/B_mZ4WwHu2C/,#бессмертныйполконлайн,"['нашбессмертныйполк', 'победа', '9мая', 'вов', 'память', 'культура_кубани', 'библиотекикубани', '75великойпобеды', 'библиотекиейскогорайона', 'бессмертныйполконлайн', 'помнимгордимсячтим']",346
8718381866.0,https://www.instagram.com/p/B_bt0tMn6dc/,#деньпобеды2020,"['конкурс', 'розыгрышпавлодар', 'розыгрыш', '75летпобеды', '9мая', 'деньпобеды', 'деньпобеды2020', 'подаркиказахстан', 'подарок', 'конкурсрисунков']",344
2302424703.0,https://www.instagram.com/p/B_8AM6cH4nn/,#бессмертныйполконлайн,"['окна_победы', 'окнапамяти', 'рдш07', 'кабардинобалкария', 'рдш', '75летпобеды', 'бессмертныйполконлайн']",344
9684418666.0,https://www.instagram.com/p/B_3AbqOFcRM/,#бессмертныйполконлайн,"['бессмертныйполконлайн', 'окнопобеды', 'никтонезабытничтонезабыто', 'мыпомним', '75летпобеды', '9маяденьпобеды', 'мывсеравноскажемспасибо']",342
10424214889.0,https://www.instagram.com/p/B_ZxsKpIYN7/,#бессмертныйполконлайн,"['героймоейсемьи', 'пост1кемерово', 'деньпобеды', '75летпобеды', 'дорогапамяти', 'япомню', 'ягоржусь', 'бессмертныйполконлайн', 'скажемспасибо', 'вахтапобеды']",336
3914634947.0,https://www.instagram.com/p/B_oc4iLlnkH/,#бесмертныйполконлайн,"['repost', 'бесмертныйполктатарстан', 'бесмертныйполконлайн', '75летпобеды', 'рдш', 'сдорт', 'азнакаевскийрайон', 'aznakaevouo', 'vospitaniemoinrt']",335
33942815171.0,https://www.instagram.com/p/B_jI-79gTei/,#бессмертныйполкдома,"['бессмертныйполкарсеньев', 'бессмертныйполкдома', 'бессмертныйполк2020']",333
34588765850.0,https://www.instagram.com/p/B_mM_cJgBJl/,#бессмертныйполк,"['бессмертныйполкшкотовскийрайон', 'культурашкотовскогорайона', 'бессмертныйполк', 'центральное', 'приморскийкрай', 'шкотовскийрайон', 'великаяпобеда', '75победе']",328
33298703159.0,https://www.instagram.com/p/B_6YRZZHWfa/,#бессмертныйполконлайн,"['75летпобеды', '9мая2020', 'сднемпобеды', 'бессмертныйполконлайн', 'бессмертныйполкпавлодар', 'мыпомниммыгордимся']",310
5814411933.0,https://www.instagram.com/p/BXVopooATOf/,#гордостьроссии,"['аллапугачева', 'алла', 'alla', 'allapugacheva', 'женщинакотораяпоет', 'певица', 'нашапевица', 'певицавека', 'гордостьстраны', 'гордостьроссии', 'личность', 'крикдуши', 'лучшаямама']",301
3965979117.0,https://www.instagram.com/p/B_kCcoGFh6y/,#бессмертныйполконлайн,"['чулпановскаясош', 'нурлатвоспитательнаяработа', 'миноброзованиярт', '100тасср', '75летвов', 'бессмертныйполконлайн', 'бессмертныйполктатарстан', 'памятигероев2020', 'волонтерыпобедытатарстана', 'волонтерыпобедынурлата', 'волонтерыпобедычулпаново', 'chulpanovskaiasosh', 'героивеликойпобеды', 'памятигероев2020']",298
9196363411.0,https://www.instagram.com/p/B-Er38Kph8G/,#деньпобеды2020,"['дхш4', 'дхш4саранск', 'любимаяхудожка', 'деньпобеды', 'деньпобеды2020', 'годпамятииславы2020', 'саранск13рм']",296
7563819212.0,https://www.instagram.com/p/B_u2kfjJ-La/,#бессмертныйполккитай,['бессмертныйполккитай'],296
5544690463.0,https://www.instagram.com/p/B_sihQiCuez/,#наследникипобеды,"['учимсядома', 'победа75', 'республикакалмыкия', 'яшалтинскийрайон', 'мывсеравноскажемспасибо', 'литературапобеды', 'наследникипобеды', 'мывсеравноскажемспасибо', 'литературапобеды', 'наследникипобеды']",296
21969974318.0,https://www.instagram.com/p/B_w33e_jXxG/,#деньпобеды2020,"['солдатскийплатокпамяти2020dzr', 'бессмертныйполк2020dzr', 'мыпомним', 'мыгордимся', 'деньпобеды2020', 'regrann']",290
7430656444.0,https://www.instagram.com/p/CACgwXVhwuP/,#деньпобеды,"['великаяпобеда', 'связьпоколений', 'липецкаяобласть', 'становлянскийрайон', 'памятьнарода', 'патриот48', 'патриотцентр48', 'бессмертныйполк', 'деньпобеды', '9мая']",283
34154723477.0,https://www.instagram.com/p/B_mFcNZImXT/,#бесмертныйполконлайн,"['бесмертныйполконлайн', 'бесмертныйполктатарстана', 'славасолдату']",281
33304997075.0,https://www.instagram.com/p/CADBf31KkR1/,#бессмертныйполк,"['урокмужествадистант', 'школаn111', 'музейслужуотечеству', 'бессмертныйполк', 'конкурсрисунков']",280
6988278461.0,https://www.instagram.com/p/CAAHAFkA-cC/,#бесмертныйполконлайн,"['бесмертныйполконлайн', 'бесмертныйполктатарстан', 'нетолько9мая']",278
5546676115.0,https://www.instagram.com/p/B_kFXISl2QG/,#бессмертныйполконлайн,"['75летпобеды', 'деньпобеды', 'победа', 'бессмертныйполконлайн', 'школьникипомнят', 'рдш', 'рдшкбр', 'рдшнальчик', 'рдш25школа']",278
